source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
holdout,return_lstm_ppo,0.0,1000000.0,500,-0.0936413174988898,-0.4021910884090952,0.1509319716390844,0.0826933807465555,0.0,0.2039850860726206,0.1832410055346208,0.0015459153097416,44.27643826039591
holdout,return_lstm_ppo,1.0,200000.0,500,-0.0674859029772305,-0.1868231891065411,0.0155501899543447,0.0388991719313666,0.0,0.2171933829056874,0.218728600508981,0.0003648413325549,39.79537373891049
holdout,return_lstm_ppo,1.0,1000000.0,500,-0.0811254634415403,-0.1652413123621038,0.0331656932609813,0.0307058417302573,0.0,0.1830900088722408,0.1651313496001541,0.0,40.350400191499766
holdout,return_lstm_ppo,2.0,200000.0,500,0.0191945847907596,-0.0601700018447299,0.0064959428273913,0.0155184999904655,0.0,0.2175655010270826,0.2188399439851549,1.5297765297765e-05,36.53682601085968
holdout,return_lstm_ppo,2.0,1000000.0,500,-0.1459674002788829,-0.1002969932272552,0.128383969253302,0.0932035416692668,0.0,0.181388223404621,0.1743660070799567,0.0,38.41299830129408
holdout,return_lstm_ppo,3.0,200000.0,500,-0.0755165426522412,0.0120840427697699,0.0558341186366272,0.0136322579493521,0.0,0.2220262057035575,0.2153983145420382,3.5173088368282395e-05,33.02907167810862
holdout,return_lstm_ppo,3.0,1000000.0,500,-0.071584209348435,-0.2873445108692467,0.123168321104997,0.0867345411373193,0.0,0.1916863918901069,0.1806740015803128,6.25711861175132e-05,42.83872953533989
holdout,return_lstm_ppo,4.0,200000.0,500,-0.0466100937025978,-0.0836005206432719,0.0051007582198296,0.0200924343874274,0.0,0.2151012241091608,0.2173146051383037,4.28069349623644e-05,36.6096468486784
holdout,return_lstm_ppo,4.0,1000000.0,500,-0.2127260332863959,-0.4187176138871924,0.1063472034215203,0.1283875184947369,0.0,0.1864052082784225,0.2080563669987081,0.0053031010752024,43.13144534511599
holdout,return_mlp_ppo,0.0,200000.0,500,-0.0136584680698931,-0.0501355240279691,0.048965546497898,0.0419221962708368,0.0,0.2083806802935227,0.2099252528624667,7.5757575757574e-06,35.858339685950426
holdout,return_mlp_ppo,0.0,1000000.0,500,-0.1225848236474308,-0.3501210574982439,0.1264986775012534,0.1131867553329081,0.0,0.1796486312602316,0.1734838261458397,0.0001109277504971,44.49025316570593
holdout,return_mlp_ppo,1.0,200000.0,500,-0.0260618887393779,-0.0973637022090701,0.0946229999270397,0.0443784667690169,0.0,0.2209009433677891,0.2073739963224961,7.2463768115942e-06,37.40464320626858
holdout,return_mlp_ppo,1.0,1000000.0,500,-0.0993075977337969,-0.1976970010092922,0.0709164935716308,0.1065800670766503,0.0,0.1443443519834935,0.1720556891213378,0.0,43.54789845611136
holdout,return_mlp_ppo,2.0,200000.0,500,-0.0165183921758772,-0.0404766867676782,0.0642786865425298,0.0401622469925424,0.0,0.2204981216407111,0.205851344024326,7.7220077220076e-06,35.63625538023068
holdout,return_mlp_ppo,2.0,1000000.0,500,-0.0417479110429703,-0.2602891007776765,0.0968136148846604,0.1563482823968575,0.0,0.1720794804835399,0.2058191671682468,6.35903618973272e-05,42.404375295394246
holdout,return_mlp_ppo,3.0,200000.0,500,-0.012922799326806,-0.0469946911267421,0.0471288406029984,0.0435577480837752,0.0,0.2127140837035907,0.2096028379733563,0.0,35.24068226737365
holdout,return_mlp_ppo,3.0,1000000.0,500,-0.1222027852188324,-0.439774028761597,0.0826324298883752,0.0839289843911033,0.0,0.1700574377343881,0.1646569295166325,0.0011657914098698,46.98254137041391
holdout,return_mlp_ppo,4.0,200000.0,500,-0.0077694732541639,0.0161640888614322,0.0616643584600363,0.057235311985419,0.0,0.2159784296489671,0.2133998678839256,6.27019156187858e-05,34.68107989721816
holdout,return_mlp_ppo,4.0,1000000.0,500,0.0429804372020983,-0.433632684333521,0.127484724595631,0.147998557241246,0.0,0.1925916792118867,0.2013467604419266,0.0037582153078568,45.8505419760264
validation,hamilton_ppo,0.0,16000.0,50,-0.03095838382152,0.0015644024747619,0.0165741575541391,0.0087331968470106,0.0,0.2216898895748176,0.2248026058144938,6.920415224913399e-05,28.80428444994592
validation,hamilton_ppo,0.0,32000.0,50,-0.0250656527228981,0.0098149831932056,0.020567413725838,0.0061159141680128,0.0,0.2158237582710162,0.2234865770855943,0.0,41.60220108047561
validation,hamilton_ppo,0.0,48000.0,50,-0.051101611421844,-0.0092319636791326,0.022570706099034,0.0127000372109014,0.0,0.2101851305417074,0.2229070660022686,7.142857142857e-05,33.24792377514533
validation,hamilton_ppo,0.0,64000.0,50,-0.0278503126960954,-0.0326099779155941,0.0308684647583128,0.0138151324038256,0.0,0.2077995642136324,0.2186935292052702,0.0,30.841468263666133
validation,hamilton_ppo,0.0,80000.0,50,-0.0336326887000074,-0.036575037566296,0.0232151471555049,0.0106053540300822,0.0,0.2038930783224005,0.2215680881715197,0.0,31.041696216237124
validation,hamilton_ppo,0.0,96000.0,50,-0.0425507506587641,-0.0138042328039093,0.0362953948687471,0.0106482202052293,0.0,0.2032095313347426,0.2187194660146017,0.0,31.77380234731658
validation,hamilton_ppo,0.0,112000.0,50,-0.0129249347343152,-0.036503107107819,0.0462945251604886,0.0201926085162281,0.0,0.2006870391873591,0.2170839975894894,0.0,33.97574819520152
validation,hamilton_ppo,0.0,128000.0,50,0.001586471651167,-0.0454518979098682,0.0512707016014303,0.0173994806640216,0.0,0.2049975272839066,0.2168436718688927,6.3897763578274e-05,33.13233531067864
