training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-10,0.25,1.0,-0.7615941559557649,-0.2573118209838867,-0.18750359117984772,1.1400684864969304,1.2472280793736523
0,-10,0.05,0.0,-0.7615941559557649,-0.1446658968925476,-0.6731837391853333,1.312986370229768,0.5016815001999371
0,-10,0.05,0.1,-0.7615941559557649,-0.1539553701877594,-0.6176849007606506,1.2987265017422205,0.58687536555671
0,-10,0.05,0.2,-0.7615941559557649,-0.16311654448509216,-0.5606946349143982,1.2846635794946482,0.6743586566122757
0,-10,0.05,0.3,-0.7615941559557649,-0.1720811426639557,-0.5024740695953369,1.2709024127404263,0.7637305271518467
0,-10,0.05,0.4,-0.7615941559557649,-0.18078723549842834,-0.4433003067970276,1.257538066354507,0.8545656098956819
0,-10,0.05,0.5,-0.7615941559557649,-0.18918025493621826,-0.38346022367477417,1.2446543053927308,0.9464235321362321
0,-10,0.05,0.6,-0.7615941559557649,-0.19721373915672302,-0.323243647813797,1.2323224513854394,1.0388593920886529
0,-10,0.05,0.7,-0.7615941559557649,-0.2048497200012207,-0.2629377841949463,1.2206007876101537,1.1314323138145845
0,-10,0.05,0.8,-0.7615941559557649,-0.21205836534500122,-0.202821284532547,1.2095351080706405,1.2237145511249994
0,-10,0.05,0.9,-0.7615941559557649,-0.2188180685043335,-0.14315977692604065,1.199158580252145,1.3152983498185276
0,-10,0.05,1.0,-0.7615941559557649,-0.22511446475982666,-0.08420142531394958,1.1894932548138235,1.4058027641715292
0,-5,1.0,0.0,-0.46211715726000974,-0.26419225335121155,-0.8090188503265381,1.1295066324953598,0.29316689885398534
0,-5,1.0,0.1,-0.46211715726000974,-0.27366551756858826,-0.7568985819816589,1.1149646345160762,0.37317446747649746
0,-5,1.0,0.2,-0.46211715726000974,-0.2829091250896454,-0.7034723162651062,1.1007751725937602,0.4551868161520129
0,-5,1.0,0.3,-0.46211715726000974,-0.2918491065502167,-0.6489850878715515,1.0870517938985906,0.5388278027237202
0,-5,1.0,0.4,-0.46211715726000974,-0.30041879415512085,-0.5936911702156067,1.073896837278145,0.6237071030755994
0,-5,1.0,0.5,-0.46211715726000974,-0.3085605800151825,-0.5378475189208984,1.0613987341103266,0.7094302757486346
0,-5,1.0,0.6,-0.46211715726000974,-0.31622743606567383,-0.4817084074020386,1.0496296751423315,0.795606996626806
0,-5,1.0,0.7,-0.46211715726000974,-0.3233829140663147,-0.42552000284194946,1.0386456104906499,0.8818593851195925
0,-5,1.0,0.8,-0.46211715726000974,-0.33000117540359497,-0.36951592564582825,1.0284862038928098,0.9678288206520436
0,-5,1.0,0.9,-0.46211715726000974,-0.3360663056373596,-0.3139144480228424,1.0191758849172536,1.0531802430007964
0,-5,1.0,1.0,-0.46211715726000974,-0.34157124161720276,-0.2589152157306671,1.010725495900538,1.1376071846021827
0,-5,0.75,0.0,-0.46211715726000974,-0.23235014081001282,-0.7185876965522766,1.1783860816065617,0.4319838499358965
0,-5,0.75,0.1,-0.46211715726000974,-0.24190160632133484,-0.6631951332092285,1.1637240402048172,0.5170145770135172
0,-5,0.75,0.2,-0.46211715726000974,-0.25121989846229553,-0.6064964532852173,1.1494199331541908,0.6040502671371631
0,-5,0.75,0.3,-0.46211715726000974,-0.26022669672966003,-0.5487765073776245,1.1355939868701654,0.6926536584806603
0,-5,0.75,0.4,-0.46211715726000974,-0.2688518762588501,-0.4903300404548645,1.1223538469979584,0.7823723007970048
0,-5,0.75,0.5,-0.46211715726000974,-0.2770354151725769,-0.43145373463630676,1.109791650524169,0.8727507702025846
0,-5,0.75,0.6,-0.46211715726000974,-0.28472861647605896,-0.37243908643722534,1.0979821500983022,0.9633416030102464
0,-5,0.75,0.7,-0.46211715726000974,-0.29189473390579224,-0.31356602907180786,1.0869817533194033,1.0537150858559756
0,-5,0.75,0.8,-0.46211715726000974,-0.2985081970691681,-0.25509750843048096,1.0768297121907002,1.1434675818813982
0,-5,0.75,0.9,-0.46211715726000974,-0.3045543134212494,-0.19727560877799988,1.0675485806021603,1.2322274780069986
0,-5,0.75,1.0,-0.46211715726000974,-0.3100281357765198,-0.1403181254863739,1.0591459527641982,1.319660445981502
0,-5,0.5,0.0,-0.46211715726000974,-0.19553253054618835,-0.6130545139312744,1.2349032019753263,0.5939832720154551
0,-5,0.5,0.1,-0.46211715726000974,-0.2050950825214386,-0.5546659827232361,1.2202241422225315,0.6836129797230862
0,-5,0.5,0.2,-0.46211715726000974,-0.21443232893943787,-0.4950515627861023,1.2058909392814001,0.7751244961729071
0,-5,0.5,0.3,-0.46211715726000974,-0.2234637439250946,-0.4345337748527527,1.1920272049383227,0.8680227337437776
0,-5,0.5,0.4,-0.46211715726000974,-0.23211735486984253,-0.37344449758529663,1.1787434212303582,0.9617982398623272
0,-5,0.5,0.5,-0.46211715726000974,-0.24033209681510925,-0.31211498379707336,1.166133326333049,1.0559425226685508
0,-5,0.5,0.6,-0.46211715726000974,-0.24805888533592224,-0.25086772441864014,1.154272267623221,1.1499605402895643
0,-5,0.5,0.7,-0.46211715726000974,-0.2552609443664551,-0.1900092363357544,1.1432166984481757,1.2433817719174367
0,-5,0.5,0.8,-0.46211715726000974,-0.26191356778144836,-0.12982331216335297,1.1330045441117313,1.3357705797890642
0,-5,0.5,0.9,-0.46211715726000974,-0.2680031657218933,-0.07056713104248047,1.1236566658184008,1.426732179333515
0,-5,0.5,1.0,-0.46211715726000974,-0.27352628111839294,-0.012467656284570694,1.1151783703658236,1.515918168992413
0,-5,0.25,0.0,-0.46211715726000974,-0.15391583740711212,-0.4929240942001343,1.298787186803156,0.7783902811408158
0,-5,0.25,0.1,-0.46211715726000974,-0.16342997550964355,-0.43206632137298584,1.284182445091439,0.8718104148105559
0,-5,0.25,0.2,-0.46211715726000974,-0.1727418601512909,-0.37015748023986816,1.2698881739157473,0.9668439979556581
0,-5,0.25,0.3,-0.46211715726000974,-0.18177086114883423,-0.3075508773326874,1.2560281451813662,1.0629486850070395
0,-5,0.25,0.4,-0.46211715726000974,-0.19044530391693115,-0.2446058839559555,1.2427123834427996,1.1595728206256206
0,-5,0.25,0.5,-0.46211715726000974,-0.19870442152023315,-0.18167755007743835,1.2300341693930343,1.2561713829693713
0,-5,0.25,0.6,-0.46211715726000974,-0.20649954676628113,-0.11910729110240936,1.21806820993332,1.3522202800231569
