seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100015,35.604762914251324,37.766295414249726,1.6325324999999535,0.529,35.60476291424977,1.5560885913146194e-12,10.96225,11.03475,23.0,23.0,25.0,-0.1391604809029959,0.08281372292428256,0.8276293058195151,0.29466126902279594,0.0,0.0,0.0,0.62575,0.9203287825857546,4000,shuffled
100015,-36.10840212246299,-13.083434622467394,17.840967499999994,5.184,-36.10840212246739,4.39825953435502e-12,-35.20175,35.20175,-72.0,72.0,126.0,-0.22324622133746744,0.034241527539448646,-0.8716633985750377,0.15608307297783436,0.0,0.0,0.25675,0.0,0.9203287825857546,4000,complement
100016,60.337779254794924,62.32209675479339,1.6233175000000297,0.361,60.33777925479337,1.5560885913146194e-12,10.67425,10.71175,19.0,19.0,23.0,-0.13491844725748525,0.09077259277652239,0.7595482796384022,0.3467681364685369,0.0,0.0,0.0,0.608,0.8038467470140375,4000,correct
100016,59.963336439014284,61.94765393901275,1.6233175000000297,0.361,59.96333643901273,1.5560885913146194e-12,10.67425,10.71175,19.0,19.0,23.0,-0.13200661175558343,0.0874981062342106,0.7594303043643013,0.35030534280315634,0.0,0.0,0.0,0.5425,0.8038467470140375,4000,stationary
100016,57.28938680061127,59.032944300611916,1.419557499999976,0.324,57.28938680061194,6.750155989720952e-13,9.70525,9.99125,18.0,18.0,24.0,-0.13964957262109964,0.09241323337793134,0.7308944824947976,0.38650483832209215,0.0,0.0,0.0,0.48875,0.8038467470140375,4000,shuffled
100016,51.89130823284471,52.064488232845065,0.13718000000000527,0.036000000000000004,51.891308232845056,3.481659405224491e-13,1.5035,2.998,6.0,6.0,38.0,-0.14841457824083046,0.0873662997727588,0.11936689510010183,0.47772131851441396,0.0,0.0,0.0,0.0675,0.8038467470140375,4000,complement
100017,43.33062690746368,45.99043440746618,2.1308074999999507,0.529,43.330626907466225,2.5437429940211587e-12,13.24275,13.26425,23.0,23.0,27.0,-0.12546005428535864,0.07144613407712816,0.8950624356078916,0.215591664323628,0.0,0.0,0.0,0.6395,0.899728510678988,4000,correct
100017,16.986386550411986,20.115914050421907,2.55352749999998,0.5760000000000001,16.986386550421926,9.940492873283802e-12,14.90525,14.90525,24.0,24.0,24.0,-0.10923446987755597,0.06530383788686225,0.9084106051377021,0.1797704603344473,0.0,0.0,0.0,0.6285,0.899728510678988,4000,stationary
100017,16.63974012230377,19.76926762231369,2.55352749999998,0.5760000000000001,16.63974012231371,9.940492873283802e-12,14.90525,14.90525,24.0,24.0,24.0,-0.118897909370251,0.06583591846110567,0.9266458452120423,0.16447461811274333,0.0,0.0,0.0,0.69275,0.899728510678988,4000,shuffled
100017,14.239032240484189,14.932487240481123,0.5244549999999976,0.169,14.239032240481125,3.064215547965432e-12,6.4015,6.423,13.0,13.0,31.0,-0.10017264054622502,0.07503282856656736,0.4593847681954503,0.33288143753060323,0.0,0.0,0.0,0.05675,0.899728510678988,4000,complement
